"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1980","159","CO","Lynwood","06-037-1301","AQS"
"01/02/1980","120","CO","Lynwood","06-037-1301","AQS"
"01/03/1980","114","NO2","","06-037-1004","AQS"
"01/04/1980","159","CO","Reseda","06-037-1201","AQS"
"01/05/1980","142","CO","Burbank","06-037-1002","AQS"
"01/06/1980","125","CO","Burbank","06-037-1002","AQS"
"01/07/1980","105","NO2","Reseda","06-037-1201","AQS"
"01/08/1980","89","NO2","","06-037-2401","AQS"
"01/09/1980","79","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"01/10/1980","68","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"01/11/1980","68","NO2","Reseda","06-037-1201","AQS"
"01/12/1980","43","SO2","","06-037-8001","AQS"
"01/13/1980","43","CO","Reseda","06-037-1201","AQS"
"01/14/1980","47","NO2","Reseda","06-037-1201","AQS"
"01/15/1980","68","NO2","","06-037-2401","AQS"
"01/16/1980","89","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"01/17/1980","89","NO2","","06-037-2401","AQS"
"01/18/1980","57","NO2","","06-037-2401","AQS"
"01/19/1980","100","NO2","","06-037-2401","AQS"
"01/20/1980","123","CO","Lynwood","06-037-1301","AQS"
"01/21/1980","138","CO","","06-037-8001","AQS"
"01/22/1980","116","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"01/23/1980","135","CO","Burbank","06-037-1002","AQS"
"01/24/1980","193","CO","","06-037-8001","AQS"
"01/25/1980","168","CO","Burbank","06-037-1002","AQS"
"01/26/1980","79","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"01/27/1980","79","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"01/28/1980","89","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"01/29/1980","89","NO2","","06-037-2401","AQS"
"01/30/1980","100","NO2","Burbank","06-037-1002","AQS"
"01/31/1980","106","NO2","","06-037-2401","AQS"
"02/01/1980","105","NO2","Burbank","06-037-1002","AQS"
"02/02/1980","123","CO","","06-037-2401","AQS"
"02/03/1980","120","NO2","Long Beach (North)","06-037-4002","AQS"
"02/04/1980","206","Ozone","","06-037-1601","AQS"
"02/05/1980","170","NO2","","06-037-2401","AQS"
"02/06/1980","142","CO","Burbank","06-037-1002","AQS"
"02/07/1980","103","NO2","","06-037-2401","AQS"
"02/08/1980","103","NO2","Los Angeles-North Main Street","06-037-1103","AQS"
"02/09/1980","158","CO","","06-037-8001","AQS"
"02/10/1980","110","NO2","Long Beach (North)","06-037-4002","AQS"
"02/11/1980","118","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"02/12/1980","112","NO2","Burbank","06-037-1002","AQS"
"02/13/1980","89","NO2","Reseda","06-037-1201","AQS"
"02/14/1980","108","NO2","Long Beach (North)","06-037-4002","AQS"
"02/15/1980","89","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"02/16/1980","57","CO","Pomona","06-037-1701","AQS"
"02/17/1980","47","NO2","Lynwood","06-037-1301","AQS"
"02/18/1980","47","NO2","Reseda","06-037-1201","AQS"
"02/19/1980","47","NO2","Burbank","06-037-1002","AQS"
"02/20/1980","68","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"02/21/1980","57","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"02/22/1980","89","NO2","West Los Angeles-Robertson Blvd","06-037-1105","AQS"
"02/23/1980","103","CO","","06-037-8001","AQS"
