"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"12/12/2017","89","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/13/2017","88","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/14/2017","107","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/15/2017","100","PM2.5","Reseda","06-037-1201","AQS"
"12/16/2017","90","PM2.5","Reseda","06-037-1201","AQS"
"12/17/2017","89","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/18/2017","56","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/19/2017","75","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/20/2017","72","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/21/2017","62","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/22/2017","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/23/2017","84","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/24/2017","157","PM2.5","Compton","06-037-1302","AQS"
"12/25/2017","169","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/26/2017","155","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
