"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/16/2017","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"02/17/2017","49","Ozone","Azusa","06-037-0002","AQS"
"02/18/2017","46","Ozone","Reseda","06-037-1201","AQS"
"02/19/2017","46","PM2.5","Reseda","06-037-1201","AQS"
"02/20/2017","51","PM2.5","Reseda","06-037-1201","AQS"
"02/21/2017","56","PM2.5","Reseda","06-037-1201","AQS"
"02/22/2017","48","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/23/2017","50","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/24/2017","63","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/25/2017","60","PM2.5","Reseda","06-037-1201","AQS"
"02/26/2017","44","PM2.5","Reseda","06-037-1201","AQS"
"02/27/2017","48","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/28/2017","57","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/01/2017","60","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/02/2017","66","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/03/2017","56","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/04/2017","61","PM2.5","Reseda","06-037-1201","AQS"
"03/05/2017","45","Ozone","Reseda","06-037-1201","AQS"
"03/06/2017","48","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/07/2017","52","PM2.5","Long Beach (South)","06-037-4004","AQS"
"03/08/2017","62","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/09/2017","77","Ozone","Reseda","06-037-1201","AQS"
"03/10/2017","101","Ozone","Reseda","06-037-1201","AQS"
"03/11/2017","101","Ozone","Azusa","06-037-0002","AQS"
"03/12/2017","101","Ozone","Azusa","06-037-0002","AQS"
"03/13/2017","125","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"03/14/2017","102","PM2.5","Long Beach (South)","06-037-4004","AQS"
"03/15/2017","82","PM2.5","Long Beach (South)","06-037-4004","AQS"
"03/16/2017","72","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"03/17/2017","89","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"03/18/2017","101","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"03/19/2017","79","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"03/20/2017","62","PM2.5","Reseda","06-037-1201","AQS"
"03/21/2017","54","PM2.5","Reseda","06-037-1201","AQS"
"03/22/2017","54","PM2.5","Reseda","06-037-1201","AQS"
"03/23/2017","47","Ozone","Reseda","06-037-1201","AQS"
"03/24/2017","56","PM2.5","Reseda","06-037-1201","AQS"
"03/25/2017","45","PM2.5","Reseda","06-037-1201","AQS"
"03/26/2017","56","PM2.5","Reseda","06-037-1201","AQS"
"03/27/2017","48","PM2.5","Reseda","06-037-1201","AQS"
"03/28/2017","52","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/29/2017","64","Ozone","Glendora","06-037-0016","AQS"
"03/30/2017","56","PM2.5","Long Beach (South)","06-037-4004","AQS"
"03/31/2017","55","PM2.5","Glendora","06-037-0016","AQS"
"04/01/2017","58","PM2.5","Reseda","06-037-1201","AQS"
"04/02/2017","61","Ozone","Azusa","06-037-0002","AQS"
"04/03/2017","75","PM2.5","Reseda","06-037-1201","AQS"
"04/04/2017","77","PM2.5","Reseda","06-037-1201","AQS"
"04/05/2017","100","Ozone","Reseda","06-037-1201","AQS"
"04/06/2017","69","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"04/07/2017","77","Ozone","Glendora","06-037-0016","AQS"
"04/08/2017","50","Ozone","Reseda","06-037-1201","AQS"
"04/09/2017","67","Ozone","Azusa","06-037-0002","AQS"
"04/10/2017","97","Ozone","Reseda","06-037-1201","AQS"
"04/11/2017","87","Ozone","Reseda","06-037-1201","AQS"
"04/12/2017","55","PM2.5","Reseda","06-037-1201","AQS"
"04/13/2017","44","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"04/14/2017","58","Ozone","Reseda","06-037-1201","AQS"
"04/15/2017","112","Ozone","Reseda","06-037-1201","AQS"
"04/16/2017","108","Ozone","Azusa","06-037-0002","AQS"
"04/17/2017","41","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"04/18/2017","34","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"04/19/2017","49","Ozone","Santa Clarita","06-037-6012","AQS"
"04/20/2017","67","Ozone","Glendora","06-037-0016","AQS"
"04/21/2017","119","Ozone","Azusa","06-037-0002","AQS"
"04/22/2017","161","Ozone","Azusa","06-037-0002","AQS"
"04/23/2017","84","Ozone","Azusa","06-037-0002","AQS"
"04/24/2017","57","PM2.5","Glendora","06-037-0016","AQS"
"04/25/2017","71","Ozone","Reseda","06-037-1201","AQS"
"04/26/2017","53","PM2.5","Glendora","06-037-0016","AQS"
"04/27/2017","74","Ozone","Los Angeles-North Main Street","06-037-1103","AQS"
"04/28/2017","84","Ozone","Azusa","06-037-0002","AQS"
"04/29/2017","100","Ozone","Azusa","06-037-0002","AQS"
"04/30/2017","112","Ozone","Azusa","06-037-0002","AQS"
"05/01/2017","140","Ozone","Reseda","06-037-1201","AQS"
"05/02/2017","147","Ozone","Santa Clarita","06-037-6012","AQS"
"05/03/2017","156","Ozone","Santa Clarita","06-037-6012","AQS"
"05/04/2017","126","Ozone","Glendora","06-037-0016","AQS"
"05/05/2017","80","PM2.5","Reseda","06-037-1201","AQS"
"05/06/2017","52","PM2.5","Reseda","06-037-1201","AQS"
"05/07/2017","56","PM2.5","Azusa","06-037-0002","AQS"
"05/08/2017","57","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"05/09/2017","64","PM2.5","Reseda","06-037-1201","AQS"
"05/10/2017","56","PM2.5","Reseda","06-037-1201","AQS"
"05/11/2017","61","Ozone","Santa Clarita","06-037-6012","AQS"
"05/12/2017","70","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"05/13/2017","67","Ozone","Azusa","06-037-0002","AQS"
